pid,year,jbsect1,jbhrs1,age,e1,spelldur1,logw1,jbsect2,jbhrs2,j2u,j2j,u2j,e2,logw2,sex,educ,nonwhite
14349671,1995,1,22,33,1,44.120548,6.1836305,1,39,0,1,0,1,6.4499393,0,1,0
14354152,2003,1,30,45,1,131.47397,6.5689917,,,0,0,0,,,0,1,0
14359758,1993,1,35,43,1,20.646576,7.0200748,1,-8,1,0,0,0,,1,1,0
14359782,1994,1,30,36,1,26.69589,5.6849794,1,15,1,0,0,0,5.2888012,0,1,0
14366479,1993,1,15,47,1,16.931507,6.1282244,1,84,0,1,0,1,6.583499,0,1,0
14368706,1994,1,39,50,1,29.753426,6.7011256,-8,-8,1,0,0,0,,1,1,0
14368749,2003,1,44,48,1,130.88219,6.2841001,,,0,0,0,,,0,2,0
14374307,1994,5,40,52,1,25.742466,6.7013583,,,0,0,0,,,1,1,0
14376547,1993,1,40,32,1,23.210958,6.8074861,1,28,0,1,0,1,6.7834001,1,1,0
14381028,1995,7,37,50,1,36.39452,7.2558665,,,0,0,0,,,1,2,0
14381052,1995,4,30,45,1,36.39452,6.4229703,,,0,0,0,,,0,1,0
14388863,1999,1,39,42,1,87.846573,6.7757277,1,39,0,1,0,1,6.4327321,1,1,0
14388898,2003,2,40,43,1,131.4411,6.8825941,,,0,0,0,,,0,1,0
14393336,2003,2,34,59,1,131.63835,7.0979791,,,0,0,0,,,1,1,0
14393379,2003,2,32,56,1,131.63835,6.5082488,,,0,0,0,,,0,1,0
14396696,2003,1,37,46,1,130.98082,7.8019333,,,0,0,0,,,1,3,0
14397811,1995,1,39,45,1,38.860275,7.2739167,4,39,1,0,0,0,6.3155522,1,1,0
14402297,1996,1,37,53,1,56.745205,7.3299174,-8,-8,1,0,0,0,,1,1,0
14402327,2003,4,20,56,1,131.53972,5.5581274,,,0,0,0,,,0,1,0
14403412,1997,1,65,35,1,60.263012,5.4165559,,,0,0,0,,,1,2,0
14406772,1995,1,40,60,1,40.931507,6.8637772,1,39,0,1,0,1,6.7700248,1,1,0
14406802,1999,1,25,58,1,88.175339,5.999474,-8,-8,1,0,0,0,,0,1,0
14407922,1992,1,18,48,1,8.580822,5.8344965,1,21,0,1,0,1,5.6830544,0,1,0
14415739,2003,1,36,62,1,132.5589,7.0128527,,,0,0,0,,,1,2,0
14416859,1992,1,50,36,1,5.8191781,7.1342072,1,45,1,0,0,0,7.0235295,1,1,0
14417979,2003,2,37,41,1,131.30959,7.4160638,,,0,0,0,,,1,3,0
14426951,1992,1,37,61,0,2.4328768,,1,38,0,0,1,1,6.5321579,1,1,0
14430312,1992,1,38,55,1,6.7397261,6.7719893,1,38,1,0,0,0,6.3558068,0,1,0
14431432,1993,1,15,30,1,18.443836,5.4895601,1,32,0,1,0,1,6.2254438,0,2,0
14443759,2002,1,37,52,1,120.06575,7.4815898,,,0,0,0,,,1,1,0
14447088,2002,1,39,44,1,120.92055,6.9970241,,,0,0,0,,,1,1,0
14451557,1992,1,16,32,1,.69041097,5.8116817,1,-8,1,0,0,0,,0,1,0
14461633,1995,1,15,29,1,44.252056,5.2915921,1,23,0,1,0,1,5.9340339,0,1,0
14467232,2003,3,9,50,1,131.93425,6.3242865,,,0,0,0,,,0,1,0
14467267,2002,1,39,51,0,121.11781,,,,0,0,0,,,1,2,0
14469472,1994,1,38,54,1,33.10685,6.8805475,1,40,0,1,0,1,6.5491629,1,1,0
14469502,1992,1,16,43,1,5.9178081,5.3224034,1,26,0,1,0,1,5.7316523,0,1,0
14472821,1994,-8,-8,31,0,25.117807,,1,39,0,0,1,1,6.877667,1,1,0
14479559,1992,1,39,30,1,10.454795,7.4596295,1,40,0,1,0,1,7.0125861,1,1,0
14491893,1993,1,-8,41,0,10.947946,,,,0,0,0,,,1,1,0
14492989,1996,1,40,33,1,58.980824,6.9206872,1,45,0,1,0,1,6.9421763,1,1,0
